XB,FWMJ,CZMJ,YZJ,FWMJ.1,FWZJ,SFAJ,Age,RentType,BuyerAge,MonthlyRentUnitArea,In_Province,In_City,Label
1,195.88,91.0,5195.0,114.75,1934341.0,1.0,27,0.0,24,57.08791208791209,1,0,0
1,80.04,80.04,1250.0,81.05,690060.0,1.0,27,1.0,25,15.61719140429785,1,0,0
1,87.69,15.0,600.0,100.46,1679543.0,1.0,35,0.0,30,40.0,1,0,0
1,88.61,10.0,700.0,81.43,381628.0,1.0,31,0.0,27,70.0,1,0,0
0,72.01,72.01,1500.0,87.69,1035000.0,1.0,28,1.0,26,20.83044021663658,1,0,0
0,69.105,69.105,2288.0,91.95,575835.0,1.0,48,1.0,47,33.63407818717565,1,0,0
0,87.07,72.19,300.0,104.19,1872653.2,0.0,34,0.0,32,4.15570023548968,1,0,0
1,70.07,70.07,2600.0,122.26,2280438.49,1.0,45,1.0,44,37.10575139146568,0,0,0
0,69.94,69.94,900.0,74.22,859885.0,1.0,48,1.0,47,12.868172719473836,1,0,0
1,45.0,45.0,700.0,105.08,1052061.0,1.0,47,1.0,46,15.555555555555555,1,0,0
0,64.0,30.0,700.0,76.78,952000.0,1.0,34,0.0,30,23.33333333333333,1,0,0
0,99.4,20.0,200.0,105.88,861349.0,0.0,35,0.0,34,10.0,1,1,0
0,105.08,105.08,5000.0,128.44,748747.0,0.0,34,1.0,33,47.5827940616673,1,0,0
1,58.5,30.0,1500.0,94.39,627314.0,1.0,34,0.0,31,50.0,1,0,0
1,98.58,58.985,1400.0,53.9,500000.0,0.0,36,0.5,33,30.207206287639075,1,0,0
0,136.74,136.74,1000.0,111.03,930000.0,0.0,34,1.0,30,7.313149041977475,1,0,0
1,83.5,83.5,700.0,78.4,338000.0,1.0,31,1.0,29,8.383233532934131,1,0,0
1,66.3,66.3,1700.0,116.31,599578.0,1.0,36,1.0,35,25.64102564102564,1,0,0
0,1877.22,80.0,500.0,143.78,895000.0,1.0,31,0.0,29,6.25,0,0,0
0,106.55666666666669,106.55666666666669,2433.333333333333,47.95,442491.0,0.0,33,1.0,29,20.15968410098907,1,0,0
1,66.67,66.67,500.0,100.03,739173.0,1.0,36,1.0,34,7.499625018749063,1,0,0
1,57.89,57.89,2000.0,57.89,580000.0,0.0,40,1.0,36,34.548281223009155,1,1,0
1,88.72,12.1,1130.0,110.92,1400000.0,1.0,28,0.0,25,93.38842975206612,1,0,0
0,52.86,52.86,900.0,69.98,850000.0,1.0,30,1.0,25,17.0261066969353,1,0,0
1,67.94500000000001,45.52,600.0,102.54,1046705.0,1.0,29,0.5,25,23.945291951604418,1,0,0
1,70.35,70.35,800.0,88.09,672049.0,1.0,30,1.0,29,11.37171286425018,1,1,0
